Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,
Definition,0,file_id,serial_number,1,,time_created,1,,manufacturer,1,,product,1,,number,1,,type,1,,
Data,0,file_id,serial_number,"3308381792",,manufacturer,"1",,garmin_product,"2623",,number,"0",,type,"29",,,,,
Definition,1,file_creator,software_version,1,,hardware_version,1,,,,,,,,,,,,,,
Data,1,file_creator,software_version,"420",,,,,,,,,,,,,,,,,
Definition,2,unknown,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,
Data,2,unknown,unknown,"1000886458",,unknown,"100000",,unknown,"99500",,unknown,"101600",,unknown,"273036",,unknown,"2",,unknown,"0",,unknown,"0",,unknown,"1",,,,,
Data,2,unknown,unknown,"1000886426",,unknown,"160900",,unknown,"160100",,unknown,"163500",,unknown,"451672",,unknown,"2",,unknown,"1",,unknown,"0",,unknown,"1",,,,,
Data,2,unknown,unknown,"1000886425",,unknown,"500000",,unknown,"498000",,unknown,"507900",,unknown,"1528180",,unknown,"2",,unknown,"2",,unknown,"0",,unknown,"1",,,,,
Data,2,unknown,unknown,"1000000",,unknown,"997000",,unknown,"1015700",,unknown,"2",,unknown,"3",,unknown,"0",,unknown,"1",,,,,,,,,,,
Data,2,unknown,unknown,"2109800",,unknown,"2106500",,unknown,"2142900",,unknown,"2",,unknown,"4",,unknown,"0",,unknown,"1",,,,,,,,,,,
Data,2,unknown,unknown,"4219500",,unknown,"4213100",,unknown,"4285800",,unknown,"2",,unknown,"5",,unknown,"0",,unknown,"1",,,,,,,,,,,
Data,2,unknown,unknown,"999072046",,unknown,"509511",,unknown,"2",,unknown,"40000",,unknown,"6",,unknown,"1",,unknown,"1",,,,,,,,,,,
Data,2,unknown,unknown,"4000000",,unknown,"3994000",,unknown,"4062800",,unknown,"2",,unknown,"10",,unknown,"0",,unknown,"2",,,,,,,,,,,
Data,2,unknown,unknown,"2",,unknown,"40000",,unknown,"7",,unknown,"1",,unknown,"2",,,,,,,,,,,,,,,,,
